totalPop1975;maxPop1975;minPop1975;moran1975;avgDist1975;entropy1975;alpha1975;alphaRSquared1975;totalPop1990;maxPop1990;minPop1990;moran1990;avgDist1990;entropy1990;alpha1990;alphaRSquared1990;urbFromScratch1990;totalPop2000;maxPop2000;minPop2000;moran2000;avgDist2000;entropy2000;alpha2000;alphaRSquared2000;urbFromScratch2000;totalPop2015;maxPop2015;minPop2015;moran2015;avgDist2015;entropy2015;alpha2015;alphaRSquared2015;urbFromScratch2015;width;height;water;areaid
11716036.4585879;79519.296875;0;0.376883062569842;0.582994849085551;0.782608955642752;-1.64252574032481;0.734700513683604;17272164.722015;110937.09375;0;0.41684653645815;0.591616141357011;0.802122043386364;-1.53016926504607;0.707269080281524;527;20819392.8439471;134434.15625;0;0.417369096300027;0.596391338316058;0.805339471213782;-1.54108633515288;0.695329758922151;140;26977608.3872427;175543.765625;0;0.418004471736103;0.603588918055485;0.80961906468171;-1.54380793347405;0.674252104511797;127;65;134;0.0452353616532721;11
13873632.3847594;32815.671875;0;0.444555207799861;0.764261692084333;0.802116014724636;-2.48407464166597;0.727768151162217;17389424.8794552;38281.40234375;0;0.453475790289838;0.766620849574927;0.815458735692771;-2.08737068492248;0.657053532372274;569;19279819.3982734;40352.5;0;0.45255674497309;0.771881556261602;0.825035354701859;-1.9281514281369;0.643090602629804;337;21171234.671762;42001.6640625;0;0.432399182097918;0.785706732095113;0.838878852238226;-1.8613076006161;0.61455111404578;281;83;103;0.0430459702889227;12
11435604.5883612;22698;0;0.473859808899249;0.59203119189577;0.822118132622208;-2.33821306115898;0.747253585315653;15906664.9514148;30802;0;0.47134043117383;0.601814575506619;0.825899018788513;-2.30368766470405;0.717263266623122;577;18415652.4899137;34959.5;0;0.468406976152472;0.609030024208077;0.828569030159398;-2.29096161586305;0.715747988153678;268;21082096.5674617;38671.5;0;0.461837638098598;0.621431790618694;0.832545315053642;-2.26720547369588;0.713520192744201;286;119;79;0.0488245931283906;13
4728435.85520509;43885.125;0;0.356388373273541;0.552363634667523;0.82110303688136;-1.6971180254763;0.743490147015903;9461414.00118524;33240.02734375;0;0.465869002747732;0.526566729709849;0.840249643498034;-1.61465987645572;0.727289304742484;1076;13961891.0363567;50054.84375;0;0.487579912290249;0.513922820926365;0.84139831536084;-1.63666781840963;0.724649506679139;259;23142380.4936424;84805.2265625;0;0.49957043425844;0.5005685625155;0.842649241233718;-1.65446006570353;0.725120435768033;555;122;92;0.037776193870278;14
16932564.0907353;46862;0;0.420486080997885;0.511385163252351;0.807131637352329;-1.78862609930571;0.780853207181846;18491712.335202;51279;0;0.418495937706832;0.520672958941024;0.809655798898562;-1.76093344276848;0.767799914110589;383;19656326.5664027;54591;0;0.41691987525018;0.526786062261737;0.811328164441238;-1.74748051924252;0.7637189793107;263;20305474.7893793;56297;0;0.41445273188009;0.537176176990011;0.814162197539596;-1.71923456068125;0.764581283277152;382;256;134;0.347831156716418;15
18645130.0357606;11628.8447265625;0;0.523553013459005;0.64259595526243;0.821115475569153;-1.69579884577603;0.637890789071302;20690054.2788423;12958.1259765625;0;0.54135327830946;0.639913618865393;0.82703110188877;-1.7189097024367;0.655092062434547;1342;21300003.585551;13250.93359375;0;0.54633956144154;0.639332963070086;0.828818727976104;-1.7299752147474;0.66010672599223;454;21419858.1401596;13364.3427734375;0;0.549493764192538;0.637350700292157;0.828713324216137;-1.74594250637852;0.663224287647432;294;224;133;0.191058002148228;16
3451489.91379349;32813.5625;0;0.279119271729728;0.657501963875466;0.757559986058062;-1.71258717874749;0.716761865079016;6794950.06132063;16015.892578125;0;0.52352098772491;0.593356669794912;0.810352801625677;-1.79459154899424;0.714705459492912;2195;9733576.42369771;16162.6865234375;0;0.567572020215005;0.560688979367753;0.821422397176026;-1.7758062959065;0.723831687991558;704;15295502.9640876;22865.64453125;0;0.604503676529161;0.542689936197811;0.836981433851853;-1.7260077222291;0.721850527900912;908;102;121;0.144141954302382;17
12407717.5900591;19708.099609375;0;0.490659766665861;0.471457016986042;0.819520341905877;-2.09870288050646;0.690770102459481;14332795.2651912;21572.380859375;0;0.485223017061935;0.495945140734755;0.825182317669551;-2.04187851812402;0.663217191454913;528;15935274.3694736;22975.83203125;0;0.479063219538217;0.513669906075559;0.828978052767053;-2.02426578258486;0.65182986773231;416;17856020.7651472;23671.2265625;0;0.465405935416295;0.541797093660126;0.83422901331675;-2.01242165519554;0.639490311283527;487;214;161;0.201602136181575;18
2197720.82500943;93445.84375;0;0.14762558948629;0.695643560314759;0.621129510441414;-1.91945939256274;0.755902087599885;3220437.66684437;22097.79296875;0;0.311195028026713;0.587180627921891;0.699348049526777;-1.85577752819826;0.695838849890672;376;4017583.31005025;26764.27734375;0;0.382610003160195;0.496385670019398;0.718570826348887;-1.86122650276147;0.688972346043576;267;5673808.74050094;34236.34375;0;0.426113333715803;0.430069986705038;0.720265606876461;-1.92020593960547;0.695673365048343;171;134;79;0.356791989419989;19
8725740.71828692;22285.21875;0;0.483883384328858;0.465723763962873;0.81931805064917;-1.88426046614573;0.696563237477823;12026140.9664795;27236.32421875;0;0.519932058924905;0.466832656635461;0.832520819500614;-1.92063195970501;0.748772235337884;1700;13786734.2445441;30915.97265625;0;0.526697256844143;0.465073917799072;0.835247447774798;-1.90405327632914;0.75661235029994;444;16607760.4239861;35241.9140625;0;0.537311807517072;0.460835240353506;0.836502070192352;-1.93477707717319;0.758239732428682;505;94;101;0.0406572572150832;20
